Id_vente;Id_bien;Date mutation;Valeur fonciere;Id_codedep_codecommune
843;843;09/04/2020;74300;6088
844;844;10/04/2020;275150;6088
845;845;29/04/2020;230549;6088
846;846;12/05/2020;307500;6088
847;847;23/04/2020;550000;6088
848;848;12/05/2020;148000;6088
849;849;22/04/2020;199990;6088
850;850;05/05/2020;113000;6088
851;851;13/05/2020;209000;6088
852;852;07/05/2020;302000;6088
853;853;18/05/2020;289000;6088
854;854;19/05/2020;188000;6088
855;855;19/05/2020;51500;6088
856;856;12/05/2020;149570;6088
857;857;13/05/2020;202000;6088
858;858;25/05/2020;309000;6088
860;860;14/05/2020;94000;6088
861;861;25/05/2020;660000;6088
862;862;26/05/2020;96500;6088
863;863;18/05/2020;136205;6088
864;864;18/05/2020;158000;6088
865;865;15/05/2020;305343.5;6088
866;866;20/05/2020;180740;6088
867;867;20/05/2020;213000;6088
868;868;20/05/2020;144000;6088
869;869;20/05/2020;505000;6088
870;870;28/05/2020;83000;6088
871;871;29/05/2020;563000;6088
872;872;19/05/2020;363000;6088
873;873;20/05/2020;350710;6088
874;874;08/06/2020;394000;6088
875;875;28/05/2020;288000;6088
876;876;26/05/2020;71000;6088
877;877;27/05/2020;138000;6088
878;878;05/06/2020;142400;6088
879;879;15/05/2020;159500;6088
880;880;14/05/2020;89000;6088
881;881;28/05/2020;165000;6088
882;882;12/06/2020;339000;6088
883;883;02/06/2020;350000;6088
884;884;04/06/2020;48600;6088
885;885;26/05/2020;197000;6088
886;886;02/06/2020;114000;6088
887;887;18/05/2020;48000;6088
888;888;26/05/2020;232800;6088
889;889;10/06/2020;219400;6088
890;890;10/06/2020;342500;6088
891;891;09/06/2020;196000;6088
892;892;04/06/2020;119000;6088
893;893;02/06/2020;110000;6088
894;894;08/06/2020;105000;6088
895;895;04/06/2020;130000;6088
896;896;15/06/2020;132480;6088
897;897;28/05/2020;136000;6088
898;898;12/06/2020;314000;6088
899;899;25/05/2020;575000;6088
900;900;28/05/2020;127500;6088
901;901;10/06/2020;133000;6088
902;902;27/05/2020;349200;6088
903;903;02/06/2020;129000;6088
904;904;02/06/2020;123500;6088
905;905;15/06/2020;233000;6088
906;906;08/06/2020;183950;6088
907;907;02/06/2020;464500;6088
908;908;05/06/2020;293000;6088
909;909;01/06/2020;118000;6088
910;910;23/06/2020;102000;6088
911;911;12/06/2020;1100000;6088
